,Розничный Прайс-лист от 04/05/2006,,
,403," Ресницы Лавли темно-коричневый C 0,07 11mm ","135,000"
,404," Ресницы Лавли темно-коричневый C 0,07 12mm ","135,000"
,405," Ресницы Лавли темно-коричневый C 0,07 13mm ","135,000"
,406," Ресницы Лавли темно-коричневый C 0,07 14mm ","135,000"
,407," Ресницы Лавли темно-коричневый C 0,07 15mm ","135,000"
,408," Ресницы Лавли темно-коричневый C 0,07 8mm ","135,000"
,409," Ресницы Лавли темно-коричневый C 0,07 9mm ","135,000"
,410," Ресницы Лавли темно-коричневый C 0,10 10mm ","135,000"
,411," Ресницы Лавли темно-коричневый C 0,10 11mm ","135,000"
,412," Ресницы Лавли темно-коричневый C 0,10 12mm ","135,000"
,413," Ресницы Лавли темно-коричневый C 0,10 13mm ","135,000"
,414," Ресницы Лавли темно-коричневый C 0,10 14mm ","135,000"
,415," Ресницы Лавли темно-коричневый C 0,10 15mm ","135,000"
,416," Ресницы Лавли темно-коричневый C 0,10 7mm ","135,000"
,417," Ресницы Лавли темно-коричневый C 0,10 8mm ","135,000"
,418," Ресницы Лавли темно-коричневый C 0,10 9mm ","135,000"
,419, Ресницы Лавли темно-коричневый D 0.07 10mm ,"135,000"
,420, Ресницы Лавли темно-коричневый D 0.07 11mm ,"135,000"
,421, Ресницы Лавли темно-коричневый D 0.07 12mm ,"135,000"
,422, Ресницы Лавли темно-коричневый D 0.07 13mm ,"135,000"
,423, Ресницы Лавли темно-коричневый D 0.07 14mm ,"135,000"
,424, Ресницы Лавли темно-коричневый D 0.07 15mm ,"135,000"
,425, Ресницы Лавли темно-коричневый D 0.07 7mm ,"135,000"
,426, Ресницы Лавли темно-коричневый D 0.07 8mm ,"135,000"
,427, Ресницы Лавли темно-коричневый D 0.07 9mm ,"135,000"
,428, Ресницы Лавли темно-коричневый D 0.10 10mm ,"135,000"
,429, Ресницы Лавли темно-коричневый D 0.10 11mm ,"135,000"
,430, Ресницы Лавли темно-коричневый D 0.10 12mm ,"135,000"
,431, Ресницы Лавли темно-коричневый D 0.10 13mm ,"135,000"
,432, Ресницы Лавли темно-коричневый D 0.10 14mm ,"135,000"
,433, Ресницы Лавли темно-коричневый D 0.10 15mm ,"135,000"
,434, Ресницы Лавли темно-коричневый D 0.10 8mm ,"135,000"
,435, Ресницы Лавли темно-коричневый D 0.10 9mm ,"135,000"
,436, Ресницы Лавли темно-коричневый Mix C 0.07 5-8mm,"140,000"
,437, Ресницы Лавли темно-коричневый Mix C 0.07 7-12mm,"140,000"
,438, Ресницы Лавли темно-коричневый Mix C 0.07 8-15mm,"140,000"
,439, Ресницы Лавли темно-коричневый Mix C 0.10 7-12mm,"140,000"
,440, Ресницы Лавли темно-коричневый Mix C 0.10 8-15mm,"140,000"
,441, Ресницы Лавли темно-коричневый Mix C+ 0.07 7-12mm,"140,000"
,442, Ресницы Лавли темно-коричневый Mix C+ 0.07 8-15mm,"140,000"
,443, Ресницы Лавли темно-коричневый Mix C+ 0.10 7-12mm,"140,000"
,444, Ресницы Лавли темно-коричневый Mix C+ 0.10 8-15mm,"140,000"
,445, Ресницы Лавли темно-коричневый Mix D 0.07 7-12mm,"140,000"
,446, Ресницы Лавли темно-коричневый Mix D 0.07 8-15mm,"140,000"
,447, Ресницы Лавли темно-коричневый Mix D 0.10 7-12mm,"140,000"
,448, Ресницы Лавли темно-коричневый Mix D 0.10 8-15mm,"140,000"
,449, Ресницы Лавли темно-коричневый Mix L 0.07 7-12mm,"154,000"
,450, Иглы для перманента Defender 25/01 RLLT,"350,000"
,451, Иглы для перманента Defender 25/03 RLLT,"350,000"
,452, Иглы для перманента Defender 27/01 RLLT,"350,000"
,453, Иглы для перманента Defender 30/01 RLLT,"350,000"
,454, Иглы для перманента Defender 30/03 RLLT,"350,000"
,455, Иглы для перманента Defender 33/01 RLLT,"350,000"
,456, Иглы для перманента Defender 35/01 RLLT,"350,000"
,457, Иглы для перманента Defender 35/03 RLLT,"350,000"
,458, Ellami  #1 7мл для Ламинирования,"179,000"
,459, Ellami #2 7мл для Ламинирования,"179,000"
,460, Ellami #3 7мл для Ламинирования,"179,000"
,461, Ellami Botox 7мл,"220,000"
,462, Ellami Expert набор для ламинации ресниц №1№2,"940,000"
,463, Ellami Клей для лами 5мл,"130,000"
,464, Ellami набор Expert для ламинации ресниц,"499,000"
,465, Ellami набор для ламинации ресниц №1№2№3,"1,710,000"
,466, Ellami набор для ламинации ресниц,"170,000"
,467, Ellami набор для ламинации ресниц,"225,000"
,468, Ellami набор для ламинации ресниц,"499,000"
,469, Ellami Циркуль Леонардо,"120,000"
,470, WEEWY Botox 7мл,"179,000"
,471, WEEWY набор для ламинации ресниц №1№2№3,"1,625,000"
,472, WEEWY набор для ламинации ресниц,"139,000"
,473, WEEWY набор для ламинации ресниц,"210,000"
,474, WEEWY набор для ламинации ресниц Активная версия,"289,000"
,475, WEEWY набор для ламинации ресниц,"419,000"
,476, WEEWY №1 для ламинации ресниц,"179,000"
,477, WEEWY №2 для ламинации ресниц,"179,000"
,478, WEEWY №3 для ламинации ресниц,"179,000"
,479, Пигмент Etalon Mix Охлаждающийающий гель15мл,"200,000"
,480, Пигмент Etalon Mix Разбавитель 15 мл,"98,000"
,481, Пигмент Etalon Mix Ремувер 10мл  ,"850,000"
,482, ETSSU C 0.07*10 мм,"35,000"
,483, ETSSU C 0.10*12 мм,"35,000"
,484, ETSSU C+ 0.07*13 мм,"35,000"
,485, ETSSU D 0.07*12 мм,"35,000"
,486, ETSSU D 0.12*11 мм,"35,000"
,487," ETSSU С 0,07*12 мм","35,000"
,488," ETSSU С 0,07*14 мм","35,000"
,489," ETSSU С 0,10*10  мм","35,000"
,490," ETSSU С+ 0,07*14 мм","35,000"
,491, FACE Calmgel успокаив гель,"150,000"
,492, FACE Icecreaml первичная анестезия 33мл,"135,000"
,493, FACE Icegel вторичная анестезия 33мл,"265,000"
,494, FACE WOW GEL заживляющий гель в саше 5г,"3,000"
,495, FACE вазелин,"70,000"
,496, FACE Зеленая пенка Antibacterial,"65,000"
,497, FACE концетрат белого мыла,"85,000"
,498, FACE концетрат зеленого мыла,"95,000"
,499, FACE пенка для чувствительной кожи,"65,000"
,500, FACE Разбавитель,"50,000"
,501, FACE Ремувер,"375,000"
,502, FACE Сияющий вазелин 250мл,"85,000"
,503, Пигмент FACE by Tatyanina 01  ,"360,000"
,504, Пигмент FACE by Tatyanina 01  ,"360,000"
,505, Пигмент FACE by Tatyanina 02  ,"360,000"
,506, Пигмент FACE by Tatyanina 02  ,"360,000"
,507, Пигмент FACE by Tatyanina 03  ,"360,000"
,508, Пигмент FACE by Tatyanina 03  ,"360,000"
,509, Пигмент FACE by Tatyanina 04  ,"360,000"
,510, Пигмент FACE by Tatyanina 04  ,"360,000"
,511, Пигмент FACE by Tatyanina 05  ,"360,000"
,512, Пигмент FACE by Tatyanina 05  ,"360,000"
,513, FAZAX Набор Средство для роста волос 8мл*4шт ,"660,000"
,514, FAZAX Симбиотический шампунь 200мл ,"440,000"
,515, FAZAX Средство для роста бровей 20мл ,"769,000"
,516, FAZAX Средство для роста волос 8мл ,"265,000"
,517, FAZAX Средство для роста ресниц 3мл ,"619,000"
,518, FreiAVIVER Automatic Brow Pencil  карандаш,"55,000"
,519, FreiAVIVER Automatic Brow Pencil  карандаш,"55,000"
,520, FreiAVIVER Automatic Brow Pencil  карандаш,"55,000"
,521, FreiAVIVER Automatic Brow Pencil  карандаш,"55,000"
,522, FreiAVIVER Brow Paste 10g,"75,000"
,523, FreiAviver Detox-mousse 150мл,"105,000"
,524, FreiAVIVER Аминокислотный тонер 100 мл,"105,000"
,525," FreiAviver Воск для депиляции""Bears"" розовый100гр","85,000"
,526," FreiAviver Воск для депиляции""Bears"" синий.100гр","85,000"
,527," FreiAviver Воск для депиляции""Hearts"" жёлтый.100гр","75,000"
,528," FreiAviver Воск для депиляции""Hearts"" розовый100гр","75,000"
,529," FreiAviver Воск для депиляции""Hearts"" сиреневый.100гр","75,000"
,530," FreiAviver Воск для депиляции""Hearts"" чёрный.100гр","75,000"
,531," FreiAviver Воск для фиксации бровей, 25гр","79,000"
,532, FreiAVIVER Кератиновая маска ?Keratine mask?,"149,000"
,533," FreiAVIVER Крем после депиляции с Охлаждающийающим эффектом, 100 мл","119,000"
,534," FreiAVIVER Масло перед депиляцией Oil Spa,100 мл","139,000"
,535, FreiAviver Обезжириватель 100мл,"110,000"
,536," FreiAVIVER Очищ тоник перед депиляцией Clean Skin, 100 мл","109,000"
,537," FreiAVIVER Регенерирующий лосьон ""Sensitive"", 100мл","99,000"
,538, FreiAVIVER Силиконовый органайзер,"245,000"
,539, FreiAviver Силиконовый коврик Silicon mat,"135,000"
,540, FreiAVIVER Спонж для макияжа,"40,000"
,541, FreiAVIVER Спонж для макияжа розовый,"69,000"
,542, FreiAviver Стикерпак  Brows Dark,"75,000"
,543, FreiAviver Стикерпак  Lami Dark,"75,000"
,544, FreiAviver Сыворотка для ресниц и бровей 4мл,"95,000"
,545, FreiAviver фиксирующий гель для бровей и ресн 4мл,"65,000"
,546, FreiAviver фиксирующий гель для бровей Brow Designer 10мл,"65,000"
,547,Пинцет  Lovely Grace Elegant NanoFiber L 5mm Black,"130,000"
,548,Пинцет  Lovely Grace Elegant NanoFiber L 5mm Bronze,"130,000"
,549,Пинцет  Lovely Grace Elegant NanoFiber L 5mm с изгибом Black,"130,000"
,550,Пинцет  Lovely Grace Elegant NanoFiber L 7mm Black,"130,000"
,551,Пинцет  Lovely Grace Elegant NanoFiber L 7mm Bronze,"130,000"
,552,Пинцет  Lovely Grace Elegant NanoFiber L5 с изгибом Bronze,"130,000"
,553,Пинцет  Lovely Grace Elegant NanoFiber Г 5mm Black,"130,000"
,554,Пинцет  Lovely Grace Elegant NanoFiber Г 5mm Bronze,"130,000"
,555,Пинцет  Lovely Grace Elegant NanoFiber Г 7mm Black,"130,000"
,556,Пинцет  Lovely Grace Elegant NanoFiber Г 7mm Bronze,"130,000"
,557,Пинцет  Lovely Grace Elegant NanoFiber Изогнутый Black,"130,000"
,558,Пинцет  Lovely Grace Elegant NanoFiber Изогнутый Bronze,"130,000"
,559,Пинцет  Lovely Grace Elegant NanoFiber Круглый сапожок Black,"130,000"
,560,Пинцет  Lovely Grace Elegant NanoFiber Круглый сапожок Bronze,"130,000"
,561,Пинцет  Lovely Grace Elegant NanoFiber Мини-сапожок Black,"130,000"
,562,Пинцет  Lovely Grace Elegant NanoFiber Мини-сапожок Bronze,"130,000"
,563,Пинцет  Lovely Grace Elegant NanoFiber Прямой Black,"130,000"
,564,Пинцет  Lovely Grace Elegant NanoFiber Прямой Bronze,"130,000"
,565,Пинцет  Lovely Grace Elegant NanoFiber Прямой с изгибом Black,"130,000"
,566,Пинцет  Lovely Grace Elegant NanoFiber Прямой с изгибом Bronze,"130,000"
,567,Пинцет  Lovely Grace Elegant NanoFiber Сапожок Black,"130,000"
,568, Пинцет Lovely Grace Elegant NanoFiber Сапожок Bronze,"130,000"
,569," IC FACTORY Aroma Primer, 10ml","65,000"
,570," IC FACTORY Eyelash Cleanser, 10ml","70,000"
,571," IC FACTORY Nourishing essence #3, 5ml","87,000"
,572," IC FACTORY Volume fixer #2, 5ml","87,000"
,573," IC FACTORY Volume lift #1,  5ml","87,000"
,574, IC FACTORY Wax Glue Balm 10g,"105,000"
,575, IC FACTORY Кисть для ламинирования ресниц,"120,000"
,576, IC FACTORY клей Fixing Glue 5ml,"110,000"
,577, IC FACTORY Мицеллярная пенка 100мл,"80,000"
,578, IC FACTORY Набор Lash Lamination,"425,000"
,579, IC FACTORY Патчи одноразовые тканевые для ресниц 1пара,"13,000"
,580, IC FACTORY Патчи силиконовые многоразовые,"60,000"
,581, Состав IC ONE STEP BOND BUILDER 5ml,"125,000"
,582, Состав IC ONE STEP VOLUME FILLER 5ml,"100,000"
,583, IC ONE STEP Набор для ламинирования,"415,000"
,584," Состав для ламинации InLei ""Brow Bomber 3"", 1.5ml","99,000"
,585," Состав для ламинации InLei ""Brow Bomber 3"", 15ml","610,000"
